우편번호,주소,상세주소,받는분(매장명),직함,전화번호,메모(제안내용)
13352,"경기도 성남시 수정구 시민로 ***, *층 (신흥동)",,펫다방,대표님(원장님) 귀하,070-4632-3239,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 성남시 분당구 판교역로**번길 **-* (백현동),,마이 프렌즈,대표님(원장님) 귀하,8017-7708,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 성남시 분당구 동판교로**번길 **-* (백현동),,프라임 도그,대표님(원장님) 귀하,070-8639-2098,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13525,"경기도 성남시 분당구 동판교로***번길 ** (삼평동, 판교 호반 써밋 플레이스)",,이리온동물병원 아브뉴프랑 판교점,대표님(원장님) 귀하,031-8017-6125,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13612,"경기도 성남시 분당구 내정로**번길 *-**, ***호 (정자동, 금산파킹프라자)",,사랑해줄개,대표님(원장님) 귀하,031-713-1366,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13586,"경기도 성남시 분당구 분당로***번길 **, ***호 (서현동, 효자촌 분산상가 )",,달려라 바우,대표님(원장님) 귀하,070-4643-1302,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13501,"경기도 성남시 분당구 양현로 ***, *층 (야탑동)",,젠동물병원,대표님(원장님) 귀하,031-752-0075,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13568,"경기도 성남시 분당구 양현로**번길 *, ***호 (이매동)",,꽃강아지,대표님(원장님) 귀하,031-701-2770,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11697,경기도 의정부시 태평로 ** (의정부동),,베스트 의정부 애견 미용학원,대표님(원장님) 귀하,031-821-2066,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11651,"경기도 의정부시 시민로 **, 센트럴타워 *층 ***,***,***,***호 (의정부동)",,데일리독 의정부강아지분양 애견분양,대표님(원장님) 귀하,031-878-6319,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11692,경기도 의정부시 호국로 ****(의정부동),,펫캐슬 의정부 강아지분양 고양이분양 애견샵,대표님(원장님) 귀하,031-846-8255,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11695,"경기도 의정부시 시민로***번길 **, *층 (의정부동)",,베리독 강아지 고양이 의정부점,대표님(원장님) 귀하,031-848-2230,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11692,"경기도 의정부시 행복로 **, *, *층 (의정부동)",,의정부 강아지분양 고양이분양 애견분양 펫하임 의정부본점,대표님(원장님) 귀하,031-843-4200,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13991,경기도 안양시 만안구 안양로***번길 * (안양동),,안양애견,대표님(원장님) 귀하,031-448-9339,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13991,경기도 안양시 만안구 안양로 *** (안양동),,럭셔리애견사랑,대표님(원장님) 귀하,031-444-0724,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13988,"경기도 안양시 만안구 안양로 ***, *층 (안양동)",,이즈펫 강아지분양 고양이분양 본점,대표님(원장님) 귀하,031-458-8282,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13992,"경기도 안양시 만안구 만안로 ***, *층 (안양동)",,스타독,대표님(원장님) 귀하,031-465-3188,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
13937,"경기도 안양시 동안구 관악대로 ***-*, *층 (관양동)",,베베캣 고양이,대표님(원장님) 귀하,031-387-2080,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14066,"경기도 안양시 동안구 시민대로 ***, 이마트평촌점 지하*층 (관양동)",,웰니스(평촌),대표님(원장님) 귀하,031-382-0011,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14055,"경기도 안양시 동안구 시민대로***번길 *, W에이스타워 ***호, ***호 (관양동)",,힐링주,대표님(원장님) 귀하,031-340-4411,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14103,"경기도 안양시 동안구 평촌대로 ***, 평촌트윈마트 ***호 일부, ***호 일부호 (평촌동)",,평촌동물병원,대표님(원장님) 귀하,031-384-9505,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14537,"경기도 부천시 원미구 길주로 ***, ***호 (중동, 에스티마오피스텔)",,미니펫 강아지분양 고양이분양 부천점,대표님(원장님) 귀하,032-326-8990,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14407,"경기도 부천시 오정구 역곡로***번길 **, *층 (고강동)",,예쁘개,대표님(원장님) 귀하,032-671-0097,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 부천시 원미구 중동 ****,,로얄수족관,대표님(원장님) 귀하,032-718-1052,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14335,경기도 광명시 아방리*길 ** (노온사동),,가가동물원,대표님(원장님) 귀하,02-2615-1021,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14220,"경기도 광명시 오리로 ***, 크로앙스 지하*층 (광명동)",,광명 꽃 수족관,대표님(원장님) 귀하,02-2625-6004,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14220,"경기도 광명시 오리로 ***, 크로앙스 지하*층 (광명동)",,데코스,대표님(원장님) 귀하,02-2067-8955,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14314,"경기도 광명시 금하로 ***, 비앤팰리스 *층 ***호 (소하동)",,내품안의반려견광명점,대표님(원장님) 귀하,070-7809-7771,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14316,"경기도 광명시 소하로 **, 이마트 소하점 *층 (소하동)",,로얄 수족관,대표님(원장님) 귀하,02-6918-1234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
14327,"경기도 광명시 오리로 ***, 창업지원센터 ***호 (소하동)",,주식회사 우연컴퍼니,대표님(원장님) 귀하,02-2038-8602,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17777,경기도 평택시 송탄로 *** (서정동),,마루네 애견사랑,대표님(원장님) 귀하,031-664-1010,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17756,경기도 평택시 송탄로 *** (지산동),,펫 프렌즈,대표님(원장님) 귀하,031-668-7955,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 평택시 평택로 ** (평택동),,작은동물원,대표님(원장님) 귀하,031-651-8979,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 평택시 영신로 ** (동삭동),,(주)밀레펫(이마트평택점),대표님(원장님) 귀하,031-371-1052,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17825,경기도 평택시 은실고가길 *** (세교동),,야옹아 멍멍해봐,대표님(원장님) 귀하,031-668-3330,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11355,경기도 동두천시 평화로****번길 ** (송내동),,롯데마트 동두천점(한강아쿠아),대표님(원장님) 귀하,031-527-4244,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11333,"경기도 동두천시 큰시장로 **, 고려빌딩 (생연동)",,현대애견,대표님(원장님) 귀하,031-865-5393,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11353,"경기도 동두천시 강변로 ***, 송내아이파크상가 ***호 (송내동)",,아이러브퍼피,대표님(원장님) 귀하,031-866-9877,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15299,"경기도 안산시 상록구 항가울로 ***, 롯데마트 *층 (성포동)",,웰니스동물병원,대표님(원장님) 귀하,031-414-1275,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15465,"경기도 안산시 단원구 광덕*로 ***, *층 (고잔동)",,주식회사 와글,대표님(원장님) 귀하,031-481-8599,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15253,경기도 안산시 단원구 선부로 *** (와동),,허브애견,대표님(원장님) 귀하,031-414-8885,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15360,"경기도 안산시 단원구 중앙대로 ***, *층 (고잔동, 롯데프라자)",,(주) 가나펫,대표님(원장님) 귀하,031-402-4060,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 안산시 단원구 원포공원*로 ** (초지동),,(주)밀레펫(이마트고잔점),대표님(원장님) 귀하,031-485-5820,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15299,"경기도 안산시 상록구 충장로 ***, 롯데마트 (성포동)",,한강아쿠아 롯데마트 안산점,대표님(원장님) 귀하,031-572-7754,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15541,"경기도 안산시 상록구 샘골로 ***, ***호 (본오동)",,해피애견,대표님(원장님) 귀하,031-419-3377,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15489,"경기도 안산시 상록구 광덕*로 ***, ***호 (이동)",,컴페니언펫,대표님(원장님) 귀하,070-4202-0890,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15496,"경기도 안산시 상록구 석호로 **, 지승빌딩 *층 (이동)",,안산 요미독앤캣 강아지분양 고양이분양,대표님(원장님) 귀하,031-403-0509,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15658,"경기도 안산시 단원구 엠티브이*로 ***, 동신엔지니어링 (목내동)",,(주)펫콤,대표님(원장님) 귀하,031-8042-2888,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10550,"경기도 고양시 덕양구 삼원로*길 **, B층 ***호 (삼송동)",,화이트 버블,대표님(원장님) 귀하,02-381-3327,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10358,경기도 고양시 일산동구 무궁화로***번길 ** (정발산동),,미뇽 캣,대표님(원장님) 귀하,031-814-7749,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10486,"경기도 고양시 덕양구 서정마을로 *, ***호 (행신동, 행신프라자)",,바비펫샵,대표님(원장님) 귀하,031-979-9798,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10403,"경기도 고양시 일산동구 정발산로**번길 **, 라이저 오피스텔 *층 ***,***,***호 (장항동)",,일산강아지분양고양이분양 도그마루,대표님(원장님) 귀하,1566-8713,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10546,"경기도 고양시 덕양구 꽃마을로 *, 고양향동 퍼스트타워 ***호 (향동동)",,골든햄스터분양 탬펫,대표님(원장님) 귀하,02-3158-2491,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10464,"경기도 고양시 덕양구 호국로***번길 **, 덕산빌딩 *층 (성사동)",,동물의왕국(신원당동물병원 부속),대표님(원장님) 귀하,031-963-0075,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 고양시 일산서구 대화동 **** 하나로프라자 ***호,,스틸블루 애견샵,대표님(원장님) 귀하,031-919-8910,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 고양시 덕양구 화중로 ** (화정동),,한강아쿠아 (롯데마트 화정점),대표님(원장님) 귀하,031-527-4244,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 구리시 동구릉로***번길 ** (인창동),,아쿠아 오리지널-롯데마트 구리점,대표님(원장님) 귀하,031-711-7785,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11948,경기도 구리시 장자대로**번길 ** (수택동),,댕댕러브펫,대표님(원장님) 귀하,031-557-6767,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11925,"경기도 구리시 체육관로 ***, *층 (교문동)",,스타트독 구리점,대표님(원장님) 귀하,031-555-8666,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12105,"경기도 남양주시 두물로**번길 **, *층 (별내동)",,사랑해줄개,대표님(원장님) 귀하,031-527-7077,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12149,"경기도 남양주시 늘을*로 **, 남양주 호평이마트 (호평동)",,(주)밀레펫,대표님(원장님) 귀하,031-590-1234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 남양주시 와부읍 월문천로 ** (롯데마트),,롯데마트 덕소점,대표님(원장님) 귀하,031-579-7700,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12181,경기도 남양주시 화도읍 경춘로 **** (롯데마트 *층),,한강아쿠아 롯데마트 마석점,대표님(원장님) 귀하,031-527-4244,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12113,경기도 남양주시 순화궁로 *** (별내동),,로얄수족관,대표님(원장님) 귀하,031-550-1234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12111,"경기도 남양주시 별내중앙로 ** (별내동, 동익미라벨 **-*)",,러블리 하우스,대표님(원장님) 귀하,031-574-5899,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12209,경기도 남양주시 와부읍 수레로 **,,나라애견,대표님(원장님) 귀하,031-521-3888,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12285,"경기도 남양주시 다산순환로 ***, 다산 아이파크 상가 ***호 (다산동)",,맘스펫 다산애견미용 호텔 분양,대표님(원장님) 귀하,031-552-7978,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 오산시 경기대로 *** (원동),,(주)밀레펫,대표님(원장님) 귀하,031-369-7052,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 오산시 대원로**번길 ** (오산동),,베스트피쉬 수족관,대표님(원장님) 귀하,031-378-7885,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18140,"경기도 오산시 운천로 *, *층 (원동, 경기동물메디컬센터)",,경기동물메디컬센터,대표님(원장님) 귀하,031-375-8875,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18120,경기도 오산시 궐리사로**번길 ** (궐동),,개꿈꾸는 고양이,대표님(원장님) 귀하,031-378-0907,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18109,"경기도 오산시 여계산로 ** (금암동, 휴먼시아 데시앙APT 단지내상가 ***호)",,도그매니져,대표님(원장님) 귀하,031-376-8255,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18118,경기도 오산시 청학로 ***-* (궐동),,러블리캣,대표님(원장님) 귀하,031-373-8197,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18143,경기도 오산시 경기대로 *** (원동),,퍼피앤유,대표님(원장님) 귀하,031-374-7007,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15002,"경기도 시흥시 장곡로**번길 **, ***동 ***호 (장곡동)",,연성애견백화점,대표님(원장님) 귀하,031-317-6885,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15049,"경기도 시흥시 오동마을로*번길 *, ***호 (정왕동)",,정왕동 애견용품 창고형 할인매장(비제이코리아),대표님(원장님) 귀하,031-520-0289,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15119,"경기도 시흥시 거북섬북로 **, 아쿠아펫랜드 C동 *층 ***호 (정왕동)",,(주)밀레펫,대표님(원장님) 귀하,031-485-5820,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15010,"경기도 시흥시 배곧*로 **-**, 광장프라자 *층 ***호 (배곧동)",,비타민 동물병원,대표님(원장님) 귀하,031-432-9119,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15865,"경기도 군포시 번영로 ***, *층 *호 (산본동, 유화프라자빌딩)",,컨트리애견의집,대표님(원장님) 귀하,031-394-0514,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
15828,"경기도 군포시 번영로 ***, *층 ***호 (금정동, 거성프라자)",,프로펫 애견샵,대표님(원장님) 귀하,031-393-7079,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 의왕시 계원대학로 * (내손동),,펫가든 동물병원,대표님(원장님) 귀하,031-422-4475,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12913,"경기도 하남시 미사강변중앙로 ***, *층 ***호 (망월동)",,밀크독 켄넬 앤 카페 강아지분양 하남미사점,대표님(원장님) 귀하,031-792-5956,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12948,"경기도 하남시 신장동로 **, ***호 (신장동)",,멍냥이 곳간,대표님(원장님) 귀하,031-793-6359,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12913,"경기도 하남시 미사강변동로 **, 힐스테이트 에코 미사 *층 ***호 (망월동)",,블리스대디(Bully's daddy),대표님(원장님) 귀하,070-4919-1248,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17006,경기도 용인시 기흥구 동백중앙로 *** (중동),,펫파크 동백점,대표님(원장님) 귀하,031-275-8833,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16907,"경기도 용인시 기흥구 용구대로 ****, 이마트트레이더스 구성점 *층 (보정동)",,웰니스클리닉동물병원,대표님(원장님) 귀하,031-283-1357,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16914,"경기도 용인시 기흥구 구성로***번길 **, *층 (청덕동)",,멍스라이프,대표님(원장님) 귀하,031-281-5004,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17062,"경기도 용인시 처인구 중부대로 ****, *층 (김량장동)",,하얀개마을,대표님(원장님) 귀하,031-334-3336,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17064,"경기도 용인시 기흥구 중부대로 ***, *층 *호 (신갈동, 기흥역 롯데캐슬스카이)",,롯데마트 신갈점,대표님(원장님) 귀하,031-527-4244,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16845,경기도 용인시 수지구 수지로 *** (신봉동),,(주)이마트 수지점,대표님(원장님) 귀하,031-270-1052,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16800,"경기도 용인시 수지구 이종무로 **, *층 (고기동)",,퍼피데일리,대표님(원장님) 귀하,070-8248-3070,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
16944,경기도 용인시 수지구 광교중앙로***번길 ** (상현동),,펫웨이브 광교지점,대표님(원장님) 귀하,1551-1515,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17057,경기도 용인시 처인구 명지로 ** (역북동),,(주)밀레펫,대표님(원장님) 귀하,031-485-5820,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17158,경기도 용인시 처인구 양지읍 죽양대로 ****,,코기빌,대표님(원장님) 귀하,031-321-3322,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17126,경기도 용인시 처인구 이동읍 백자로 ***-*,,아로하스토리,대표님(원장님) 귀하,031-526-0596,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17063,"경기도 용인시 처인구 백옥대로 ****, *층 ***호 (남동)",,야옹아멍멍해봐 용인남동점,대표님(원장님) 귀하,031-338-0079,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17006,"경기도 용인시 기흥구 동백죽전대로 ***, 쥬네브썬월드빌딩 (중동)",,쿨펫동물병원,대표님(원장님) 귀하,031-679-0551,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10905,"경기도 파주시 미래로 ***-**, *층 (동패동)",,으르렁애견카페,대표님(원장님) 귀하,031-947-1981,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10892,경기도 파주시 교하로 ** (목동동),,파주24시동물병원,대표님(원장님) 귀하,031-944-5575,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10870,"경기도 파주시 가람로**번길 **-**, *층 (와동동)",,놀면묘하냥 고양이카페,대표님(원장님) 귀하,070-8770-7353,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10900,"경기도 파주시 산내로*번길 **-**, *층 (목동동)",,헤이뚜뚜,대표님(원장님) 귀하,031-946-3999,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10932,"경기도 파주시 중앙로 ***, ***호 (금촌동, 동현아파트)",,우리들의 댕댕이,대표님(원장님) 귀하,070-7766-0703,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17364,경기도 이천시 서희로 ** (창전동),,하이몽,대표님(원장님) 귀하,031-635-5775,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17391,경기도 이천시 경충대로****번길 * (진리동),,아이펫,대표님(원장님) 귀하,031-638-4520,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17377,경기도 이천시 경충대로****번길 ** (중리동),,냥냥펀치,대표님(원장님) 귀하,031-634-1119,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17331,"경기도 이천시 부발읍 경충대로 ****, *층",,펫플러스라이프,대표님(원장님) 귀하,031-634-0338,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17372,"경기도 이천시 구만리로 ***, 지하*층 (안흥동, 이천 롯데캐슬 골드스카이)",,롯데마트 이천점,대표님(원장님) 귀하,031-8011-2500,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 안성시 중앙로 *** (석정동),,로얄수족관,대표님(원장님) 귀하,02-2690-7311,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
17558,경기도 안성시 공도읍 서동대로 **** (롯데마트),,롯데마트안성점쿨펫,대표님(원장님) 귀하,031-618-7533,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10078,"경기도 김포시 모담공원로 **, 상가동 ***호 (운양동, 한강신도시 반도유보라 *차)",,하이몽,대표님(원장님) 귀하,031-985-1259,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10090,"경기도 김포시 김포한강*로 *, ***호 (장기동)",,라이프독,대표님(원장님) 귀하,031-988-6311,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10040,경기도 김포시 대곶면 대명항로 ***,,자랑하개,대표님(원장님) 귀하,031-988-0881,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10125,경기도 김포시 고촌읍 은행영사정로**번길 **-*,,꽃보다 개,대표님(원장님) 귀하,070-7377-1022,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10059,경기도 김포시 양촌읍 양곡*로 *-*,,pet for you,대표님(원장님) 귀하,070-7333-3311,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10090,"경기도 김포시 김포한강*로 ** (장기동, e편한세상캐널시티, 롯데마트)",,한강아쿠아 롯데마트 김포한강점,대표님(원장님) 귀하,02-2685-3485,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
10132,"경기도 김포시 고촌읍 인향로***번길 *, *층",,코아스,대표님(원장님) 귀하,031-997-0081,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11034,경기도 연천군 전곡읍 전곡로 ***,,애견세상,대표님(원장님) 귀하,031-833-7773,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18298,"경기도 화성시 효행구 봉담읍 효행로 ***, 이마트",,로얄수족관(이마트 봉담점),대표님(원장님) 귀하,031-228-1234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 화성시 만세구 향남읍 향남로 *** (홈플러스 향남점),,(주)그린아쿠아펫,대표님(원장님) 귀하,02-2619-1285,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,"경기도 화성시 병점구 경기대로 *** (병점동, 홈플러스 병점점)",,(주)그린아쿠아펫,대표님(원장님) 귀하,02-2619-1285,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18436,"경기도 화성시 동탄구 외삼미로 ***, *층 (반송동)",,퍼스트독,대표님(원장님) 귀하,031-8003-5127,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18357,"경기도 화성시 병점구 화산중앙로**번길 *, 삼신빌딩 ***호 (송산동)",,(주)코스모스이펙트,대표님(원장님) 귀하,02-6212-8587,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
18453,"경기도 화성시 동탄구 동탄중심상가*길 *, 로하스애비뉴 *층 ***호-사**호 (반송동)",,(주)우연컴퍼니,대표님(원장님) 귀하,02-2038-8602,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 광주시 광주대로 ** (경안동),,로얄수족관,대표님(원장님) 귀하,031-8026-1052,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12741,"경기도 광주시 경안천로 *, *층 (송정동)",,동현24시동물병원,대표님(원장님) 귀하,031-768-7599,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12771,"경기도 광주시 신현동 태재로 **, *층",,애플펫동물병원,대표님(원장님) 귀하,031-726-4800,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12720,경기도 광주시 곤지암읍 광여로 ***-*,,도그파파 동물병원,대표님(원장님) 귀하,031-766-0079,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11473,"경기도 양주시 옥정동로*다길 **, 대길프라자 ***호 (옥정동)",,강아지 대공원,대표님(원장님) 귀하,031-865-4422,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11473,"경기도 양주시 옥정로 ***, 신운정튼튼프라자 *층 *호 (옥정동)",,(주)아쿠아시스템 양주옥정점,대표님(원장님) 귀하,031-848-2073,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
11161,경기도 포천시 호국로 *** (설운동),,(주)그린프레밀리,대표님(원장님) 귀하,031-540-1234,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 여주시 상동 여흥로 ***,,애견나라,대표님(원장님) 귀하,031-882-0035,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 여주시 산북면 상품리 **-*,,만물농원,대표님(원장님) 귀하,031-881-2762,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 여주시 능서면 내양리 ***-**,,여주켄넬,대표님(원장님) 귀하,031-884-3204,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 여주시 창동 ***-**,,강아지와 고양이,대표님(원장님) 귀하,031-883-5588,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
,경기도 여주시 상동 ***,,멍멍이와 야옹이,대표님(원장님) 귀하,031-885-1661,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12630,"경기도 여주시 세종로**번길 **, *층 (홍문동)",,여주 멍스타,대표님(원장님) 귀하,031-885-1222,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
12662,"경기도 여주시 가남읍 대명산길 *, *층",,개냥이 세계,대표님(원장님) 귀하,070-8866-8626,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
08812,"서울특별시 관악구 호암로**가길 **, 명륜당독서실 ***호 (신림동)",,펫나우,대표님(원장님) 귀하,02-2135-4880,파보 장염 초기대응 및 집단폐사 방어 파보겔 취급점 안내
