분류,권역,시군구,상호및기관명,담당자,휴대폰번호_010,일반전화,도로명주소,특화및비고,발송템플릿
유기견보호센터/쉼터,경기,가평군,시작 유기견 보호소,소장,010-3467-4077,,경기 가평군,가평 사설 보호소 / 입양·구호 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경기,평택시,평택 콜리하우스 쉼터,소장,010-7597-5977,,경기 평택시,평택 대형견/유기견 전문 쉼터,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경기,남양주시,마석 유기견묘 보호소,소장,010-2767-2075,,경기 남양주시,마석 사설 유기견묘 쉼터 / 케어 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경기,용인시,꽁꽁이네 유기견 쉼터,소장,010-4563-1589,,경기 용인시,용인 사설 유기견 쉼터 / 봉사·입양 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경기,고양시,반달이네 유기견 쉼터,소장,010-8375-9505,,경기 고양시,고양시 사설 유기견 보호소,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경기,파주시,유기견숲 (ALPA 쉼터),운영팀장,010-5213-9151,,경기 파주시,파주 대규모 유기견 쉼터 / 구조견 케어 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경기,안성시,사단법인 다시봄 (룽지네 쉼터),상담실장,010-5727-8665,,경기 안성시,안성 룽지네 쉼터 / 구조 자견 케어 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경기,일산,생명공감 보듬센터,센터장,010-7507-4504,,경기 일산,생명공감 유기견 쉼터 / 후원·입양 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,대전,유성구,시온쉼터,오은숙 소장,010-3939-6036,,대전 유성구,대전 유성구 사설 보호소 소장 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,충남,금산군,시흥엔젤홈 유기견보호소,원종태 소장,010-3333-7675,,충남 금산군,금산 소재 대형 사설 유기견 보호소 소장 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,전북,완주군,별빛 유기견 지킴이,최성영 소장,010-4137-1009,,전북 완주군,완주 유기견 지킴이 쉼터 소장 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,대구,동구,대구 호루라기 쉼터,소장,010-5464-1264,,대구 동구,대구 동물보호 호루라기 쉼터 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,대구,수성구,대구 경산아이들 쉼터,총괄팀장,010-2683-9008,,대구 수성구,경산/대구 유기견 쉼터 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,대구,달서구,대구 경산아이들 쉼터 (봉사팀),봉사간사,010-4814-6688,,대구 달서구,쉼터 현장 자원봉사 및 구호 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경북,상주시,상주시 동물보호센터 (임시쉼터),담당자,010-6682-1198,,경북 상주시,지자체 연계 보호센터 자견 관리 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,경남,양산시,양산 사랑이네 쉼터,소장,010-3563-2238,,경남 양산시,양산 사설 유기견 쉼터 / 소장 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,울산,울주군,울산 미미보호소,소장,010-8925-4905,,울산 울주군,울산 사설 유기견/묘 보호소 직통,Shelter_B2B_LMS_Template.txt
유기견보호센터/쉼터,울산,북구,울산 별이네 보호소,소장,010-6704-6756,,울산 북구,울산 유기견 보호소 / 소장 직통,Shelter_B2B_LMS_Template.txt
